Regulon_ID,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1326,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000116044,R-1326,1,1.617743607,0.491960492,9.65E-35,2.872372941,2.31363954,1
130,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105967,R-130,1,1.497024322,0.819531616,3.85E-134,2.296123655,1.62944811,1
2135,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000175592,R-2135,1,1.739883963,0.251775779,2.27E-09,2.483217059,1.839068771,1
2140,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000175592,R-2140,1,1.739883963,0.741727206,8.86E-97,2.215396513,1.540521215,1
2136,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000175592,R-2136,1,1.739883963,0.301639067,5.44E-13,2.327748492,1.663239183,1
2130,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000175592,R-2130,1,1.739883963,0.577855782,3.92E-50,2.269335018,1.603231355,1
174,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000007866,R-174,1,2.116150214,0.252355413,2.08E-09,1.999975399,1.319690571,1
176,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000007866,R-176,1,2.116150214,0.278734026,3.09E-11,2.359104547,1.697302719,1
184,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000007866,R-184,1,2.116150214,0.530309278,4.53E-41,2.093694487,1.413609079,1
180,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000007866,R-180,1,2.116150214,0.513890241,2.91E-38,2.175165149,1.500553223,1
175,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000007866,R-175,1,2.116150214,0.462644627,2.04E-30,2.245986958,1.579644423,1
189,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000007866,R-189,1,2.116150214,0.220131463,1.94E-07,2.268610577,1.601647045,1
2629,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000157613,R-2629,1,1.642746695,0.154918277,0.00027236,2.027156946,1.344633002,1
2986,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000074047,R-2986,1,1.441103674,0.233763753,3.08E-08,2.221980708,1.548621571,1
3126,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000156273,R-3126,1,1.943879312,0.437206305,5.46E-27,3.912115305,3.789866648,1
3116,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000156273,R-3116,1,1.943879312,0.59507146,8.52E-54,2.185712063,1.513206343,1
3755,AADACL4_code_potential_somatic,ENSG00000185122,R-3755,-1,1.85851694,0.179125652,2.47E-05,-3.788434041,1.630516665,1
3041,AADACL4_code_potential_somatic,ENSG00000183734,R-3041,1,1.490555804,-0.353721646,1.35E-17,-5.453244984,3.220941117,1
478,AADACL4_code_potential_somatic,ENSG00000172216,R-478,-1,2.378652315,0.575576186,1.15E-49,-3.564210576,1.518202061,0.666666667
458,AADACL4_code_potential_somatic,ENSG00000172216,R-458,-1,2.378652315,0.643715249,1.93E-65,-2.643002955,1.353008777,0.666666667
1491,AADACL4_code_potential_somatic,ENSG00000129194,R-1491,-1,1.758118984,-0.281855326,1.82E-11,8.140918749,4.695980112,1
1548,AADACL4_code_potential_somatic,ENSG00000123364,R-1548,1,1.523593661,0.452850519,4.61E-29,8.543248472,4.732510046,1
2823,AADACL4_code_potential_somatic,ENSG00000126456,R-2823,-1,1.836901314,0.419556832,8.93E-25,-3.158142157,1.35942365,1
2830,AADACL4_code_potential_somatic,ENSG00000126456,R-2830,-1,1.836901314,0.596390419,4.37E-54,-3.152930382,1.374105409,1
2844,AADACL4_code_potential_somatic,ENSG00000126456,R-2844,-1,1.836901314,0.264198707,3.33E-10,-3.748640445,1.627979264,1
2837,AADACL4_code_potential_somatic,ENSG00000126456,R-2837,-1,1.836901314,0.475594321,2.82E-32,-4.916741122,1.997407732,1
2841,AADACL4_code_potential_somatic,ENSG00000126456,R-2841,-1,1.836901314,0.212734117,5.00E-07,-4.003746855,2.378652315,1
1427,AADACL4_code_potential_somatic,ENSG00000116035,R-1427,1,1.676052128,-0.148722345,0.000477635,-3.37521404,1.530160964,1
