,Regulon_ID,PCA_1Var,PCA_1VarNonRegulonGeneSet,PCA_1RandomVarAvg,NumGoodCalls,PCA_1RandomPVal,Diff_PCA_1VarRegulonVsNonRegulon,Diff_PCA_1VarRegulonVsAvgRand,PCA_1VarNonMemberGeneSet,PCA_1RandomVarAvgNonMember,NumGoodCallsNonMember,PCA_1RandomPValNonMember,Diff_PCA_1VarRegulonVsNonMember,Diff_PCA_1VarRegulonVsAvgRandNonMember
64,64,0.77871191,0.159485451,0.32808842,0,0.001996008,0.619226459,0.45062349,0.392123179,0.58680195,0,0.001996008,0.386588731,0.19190996
65,65,0.791755244,0.157581913,0.315016669,0,0.001996008,0.634173331,0.476738574,0.374954108,0.605243476,0,0.001996008,0.416801136,0.186511768
66,66,0.796518506,0.162252715,0.315821326,0,0.001996008,0.634265791,0.48069718,0.387174675,0.617818778,0,0.001996008,0.40934383,0.178699727
67,67,0.733523845,0.183433492,0.364347974,0,0.001996008,0.550090353,0.369175871,0.404229126,0.613779657,2,0.005988024,0.329294719,0.119744188
68,68,0.785759224,0.182211358,0.362400629,0,0.001996008,0.603547866,0.423358596,0.380568613,0.562415023,0,0.001996008,0.405190611,0.223344201
69,69,0.668690619,0.149691045,0.363460758,0,0.001996008,0.518999574,0.305229861,0.34042658,0.458168259,0,0.001996008,0.328264039,0.21052236
70,70,0.802345272,0.171411058,0.371227864,0,0.001996008,0.630934213,0.431117408,0.383645927,0.62948011,0,0.001996008,0.418699345,0.172865162
71,71,0.722947776,0.157481966,0.364531505,0,0.001996008,0.56546581,0.358416272,0.306449931,0.504357514,0,0.001996008,0.416497845,0.218590262
72,72,0.831489339,0.161198899,0.357422654,0,0.001996008,0.67029044,0.474066686,0.357811777,0.673627828,0,0.001996008,0.473677562,0.157861512
73,73,0.508529907,0.133888401,0.136182967,0,0.001996008,0.374641506,0.37234694,0.272421872,0.495920726,3,0.007984032,0.236108035,0.012609181
74,74,0.653489416,0.16860571,0.196100518,0,0.001996008,0.484883705,0.457388897,0.215376835,0.513384164,0,0.001996008,0.43811258,0.140105252
