,Regulon_ID,PCA_1VarRembrandt,PCA_1RandomPValRembrandt,PCA_1RandomPValNonMemberRembrandt,PCA_1VarFrench,PCA_1RandomPValFrench,PCA_1RandomPValNonMemberFrench,PCA_1VarIvyAtlas,PCA_1RandomPValIvyAtlas,PCA_1RandomPValNonMemberIvyAtlas,PCA_1VarGSE7696,PCA_1RandomPValGSE7696,PCA_1RandomPValNonMemberGSE7696,PCA_1Var,PCA_1RandomPVal,PCA_1RandomPValNonMember,Mutation,Regulator,RegMutation_Pval_allPatients,EigenGenePValAllPatients,EigenGene_tstat_allPatients,MutationRegulatorEdge,Fraction_of_edges_correctly_aligned,HRFrench,Cox-p-valueFrench,HRGSE7696,Cox-p-valueGSE7696,HRRembrandt,Cox-p-valueRembrandt,HR,p-value,SpearmanCorrelationEigenGene,SpearmanCorrelationPValEigenGene
40,27,0.846582459,0.001996008,0.001996008,0.624055642,0.001996008,0.001996008,0.650943125,0.001996008,0.001996008,0.894275156,0.001996008,0.003992016,0.707047731,0.001996008,0.001996008,IDH1_code_potential_somatic,ENSG00000196712,0.000366084,0.000168932,-5.024510742,1,0.714285714,3.66545695,0.000246897,,,2.86325157,0.004193175,2.420815684,0.015485727,-0.45869191,1.29e-05
41,27,0.846582459,0.001996008,0.001996008,0.624055642,0.001996008,0.001996008,0.650943125,0.001996008,0.001996008,0.894275156,0.001996008,0.003992016,0.707047731,0.001996008,0.001996008,KCNA10_code_potential_somatic,ENSG00000196712,0.035873929,0.014485013,-6.311036132,1,1.0,3.66545695,0.000246897,,,2.86325157,0.004193175,2.420815684,0.015485727,-0.45869191,1.29e-05
42,27,0.846582459,0.001996008,0.001996008,0.624055642,0.001996008,0.001996008,0.650943125,0.001996008,0.001996008,0.894275156,0.001996008,0.003992016,0.707047731,0.001996008,0.001996008,KRTAP20-2_code_potential_somatic,ENSG00000196712,0.049709852,0.033546824,4.530328053,-1,1.0,3.66545695,0.000246897,,,2.86325157,0.004193175,2.420815684,0.015485727,-0.45869191,1.29e-05
43,27,0.846582459,0.001996008,0.001996008,0.624055642,0.001996008,0.001996008,0.650943125,0.001996008,0.001996008,0.894275156,0.001996008,0.003992016,0.707047731,0.001996008,0.001996008,TP53_code_potential_somatic,ENSG00000196712,0.001269248,0.002493284,-3.094504701,1,0.666666667,3.66545695,0.000246897,,,2.86325157,0.004193175,2.420815684,0.015485727,-0.45869191,1.29e-05
44,28,0.857946718,0.001996008,0.001996008,0.850035657,0.001996008,0.001996008,0.781546389,0.001996008,0.001996008,0.823059402,0.001996008,0.001996008,0.777039255,0.001996008,0.001996008,IDH1_code_potential_somatic,ENSG00000196712,0.000366084,0.000262927,-4.698927444,1,0.714285714,5.45158444,4.99e-08,,,6.394923416,1.61e-10,3.686475487,0.000227381,-0.522475236,5.76e-16
45,28,0.857946718,0.001996008,0.001996008,0.850035657,0.001996008,0.001996008,0.781546389,0.001996008,0.001996008,0.823059402,0.001996008,0.001996008,0.777039255,0.001996008,0.001996008,KRTAP20-2_code_potential_somatic,ENSG00000196712,0.049709852,0.026693832,4.642567838,-1,1.0,5.45158444,4.99e-08,,,6.394923416,1.61e-10,3.686475487,0.000227381,-0.522475236,5.76e-16
46,28,0.857946718,0.001996008,0.001996008,0.850035657,0.001996008,0.001996008,0.781546389,0.001996008,0.001996008,0.823059402,0.001996008,0.001996008,0.777039255,0.001996008,0.001996008,TP53_code_potential_somatic,ENSG00000196712,0.001269248,0.000167064,-3.883947009,1,0.666666667,5.45158444,4.99e-08,,,6.394923416,1.61e-10,3.686475487,0.000227381,-0.522475236,5.76e-16
47,28,0.857946718,0.001996008,0.001996008,0.850035657,0.001996008,0.001996008,0.781546389,0.001996008,0.001996008,0.823059402,0.001996008,0.001996008,0.777039255,0.001996008,0.001996008,WDR90_code_potential_somatic,ENSG00000196712,0.015463519,0.037482534,-2.668021387,1,1.0,5.45158444,4.99e-08,,,6.394923416,1.61e-10,3.686475487,0.000227381,-0.522475236,5.76e-16
48,32,0.789877938,0.001996008,0.001996008,0.631632982,0.001996008,0.001996008,0.72395127,0.001996008,0.001996008,0.743316389,0.003992016,0.001996008,0.672556599,0.001996008,0.001996008,EGFR_DEPENDENT_ENDOTHELIN_SIGNALING_EVENTS_PID_NCI_NATURE_nonsilent_somatic,ENSG00000261678,0.01043398,0.020331061,2.377217264,-1,1.0,7.492393799,6.76e-14,,,,,2.131912432,0.033014046,-0.319871796,1.87e-06
49,32,0.789877938,0.001996008,0.001996008,0.631632982,0.001996008,0.001996008,0.72395127,0.001996008,0.001996008,0.743316389,0.003992016,0.001996008,0.672556599,0.001996008,0.001996008,A6B1_AND_A6B4_INTEGRIN_SIGNALING_PID_NCI_NATURE_nonsilent_somatic,ENSG00000261678,0.003045803,0.049388295,1.987221079,-1,1.0,7.492393799,6.76e-14,,,,,2.131912432,0.033014046,-0.319871796,1.87e-06
