Regulon_ID,HRFrench,Cox-p-valueFrench
3235,6.238119169,4.43E-10
1789,6.235988468,4.49E-10
3493,-6.234426054,4.53E-10
1022,6.230951139,4.64E-10
1709,6.227891994,4.73E-10
2198,6.22262872,4.89E-10
165,6.209664364,5.31E-10
3732,-6.198936098,5.68E-10
1956,6.198820993,5.69E-10
293,6.197190254,5.75E-10
2275,6.193705676,5.88E-10
2159,6.19058945,5.99E-10
1995,6.189317854,6.04E-10
1506,6.184824279,6.22E-10
831,6.184636831,6.22E-10
1319,-6.182913435,6.29E-10
401,6.181442704,6.35E-10
2823,6.177462946,6.51E-10
1308,6.176698638,6.55E-10
3645,6.175276882,6.60E-10
2004,6.168765778,6.88E-10
774,6.168546703,6.89E-10
2329,6.167143935,6.95E-10
318,6.157477458,7.39E-10
3117,6.156164466,7.45E-10
468,6.15227894,7.64E-10
2635,6.150715446,7.71E-10
2662,-6.148496138,7.82E-10
950,-6.144389856,8.03E-10
2970,6.141162587,8.19E-10
521,6.139426251,8.28E-10
1647,6.139055434,8.30E-10
2986,6.133596478,8.59E-10
3242,6.131178585,8.72E-10
2088,6.126576454,8.98E-10
110,6.12484748,9.08E-10
1482,6.123623696,9.15E-10
1979,6.118993321,9.42E-10
3332,6.118285348,9.46E-10
288,6.117769586,9.49E-10
1001,-6.116695295,9.55E-10
1611,-6.108226195,1.01E-09
1113,-6.105752798,1.02E-09
976,6.104830455,1.03E-09
1947,6.104539402,1.03E-09
1570,-6.102879439,1.04E-09
2550,6.100754189,1.06E-09
2367,-6.098346747,1.07E-09
2757,6.097326171,1.08E-09
3074,-6.097127783,1.08E-09
3699,6.094201165,1.10E-09
2840,6.091965063,1.12E-09
445,6.091185512,1.12E-09
3641,6.090474863,1.13E-09
2614,6.089960912,1.13E-09
2480,-6.088135831,1.14E-09
546,6.087953721,1.14E-09
3430,-6.081466579,1.19E-09
2593,-6.078238561,1.22E-09
1723,6.078112396,1.22E-09
1839,6.078112396,1.22E-09
696,6.078112396,1.22E-09
2053,6.078112396,1.22E-09
2294,6.078112396,1.22E-09
2422,6.078112396,1.22E-09
2717,6.078112396,1.22E-09
1825,6.076614246,1.23E-09
3462,6.073223244,1.25E-09
64,6.071041186,1.27E-09
2950,6.067911263,1.30E-09
2299,-6.067675043,1.30E-09
1103,6.066362934,1.31E-09
1553,6.065173231,1.32E-09
2168,-6.063629107,1.33E-09
1325,6.063088516,1.34E-09
1289,6.063075899,1.34E-09
1674,6.060728679,1.36E-09
2108,6.060055908,1.36E-09
161,6.056447541,1.39E-09
1203,6.052611739,1.43E-09
3635,6.049599275,1.45E-09
898,-6.049084685,1.46E-09
492,6.03821403,1.56E-09
1838,6.037464759,1.57E-09
2853,6.034297985,1.60E-09
2728,-6.023805545,1.70E-09
81,6.019737954,1.75E-09
3125,6.01922425,1.75E-09
807,6.016068374,1.79E-09
3405,6.010839351,1.85E-09
2339,6.005899868,1.90E-09
3061,-6.005899365,1.90E-09
1931,-6.004569182,1.92E-09
112,6.004458686,1.92E-09
3279,6.00034482,1.97E-09
1205,-5.998114546,2.00E-09
1824,-5.997664378,2.00E-09
2552,-5.995094244,2.03E-09
2091,5.994043987,2.05E-09
2324,5.99154251,2.08E-09
394,5.988693615,2.12E-09
1730,5.988640918,2.12E-09
14,5.987670638,2.13E-09
995,5.985277153,2.16E-09
2663,5.982110651,2.20E-09
967,-5.979557114,2.24E-09
338,-5.979299996,2.24E-09
2608,5.979244291,2.24E-09
3113,-5.97706585,2.27E-09
3214,-5.97706585,2.27E-09
