Regulon_ID,PCA_1VarFrench,PCA_1VarNonRegulonGeneSet,PCA_1RandomVarAvg,NumGoodCalls,PCA_1RandomPValFrench,Diff_PCA_1VarRegulonVsNonRegulon,Diff_PCA_1VarRegulonVsAvgRand,PCA_1VarNonMemberGeneSet,PCA_1RandomVarAvgNonMember,NumGoodCallsNonMember,PCA_1RandomPValNonMemberFrench,Diff_PCA_1VarRegulonVsNonMember,Diff_PCA_1VarRegulonVsAvgRandNonMember
140,0.759044598,0.250189559,0.303053916,0,0.001996008,0.508855039,0.455990682,0.302258594,0.568155258,0,0.001996008,0.456786005,0.19088934
141,0.523365245,0.131243134,0.245186135,0,0.001996008,0.39212211,0.27817911,0.246163469,0.308794785,0,0.001996008,0.277201775,0.21457046
142,0.746093144,0.266496515,0.37540282,0,0.001996008,0.479596629,0.370690324,0.31512249,0.414896759,0,0.001996008,0.430970654,0.331196385
143,0.601884327,0.221180418,0.344198581,0,0.001996008,0.380703909,0.257685746,0.277318384,0.364462005,0,0.001996008,0.324565943,0.237422321
144,0.572481388,0.192026105,0.299121576,0,0.001996008,0.380455283,0.273359812,0.252242337,0.3409802,0,0.001996008,0.320239051,0.231501187
145,0.721717774,0.250549195,0.398452458,1,0.003992016,0.471168579,0.323265317,0.345492385,0.433733487,0,0.001996008,0.376225389,0.287984287
146,0.640893476,0.263908245,0.414926335,4,0.00998004,0.376985231,0.225967141,0.320855428,0.356514141,0,0.001996008,0.320038048,0.284379335
149,0.714200525,0.216384012,0.349590174,0,0.001996008,0.497816513,0.364610351,0.369637035,0.473783896,0,0.001996008,0.34456349,0.240416629
150,0.690965586,0.204234533,0.390780212,0,0.001996008,0.486731052,0.300185374,0.264688087,0.427172562,0,0.001996008,0.426277499,0.263793024
151,0.706921856,0.220592095,0.389899334,0,0.001996008,0.486329762,0.317022522,0.359726475,0.484711731,0,0.001996008,0.347195382,0.222210126
152,0.697465059,0.219486798,0.371078733,0,0.001996008,0.477978261,0.326386326,0.306753276,0.426636506,0,0.001996008,0.390711783,0.270828553
153,0.742007248,0.19195334,0.359316671,0,0.001996008,0.550053908,0.382690577,0.381000283,0.560413158,0,0.001996008,0.361006965,0.18159409
154,0.575648194,0.17641841,0.170158502,0,0.001996008,0.399229783,0.405489692,0.349133343,0.547764697,0,0.001996008,0.226514851,0.027883497
