Regulon_ID,HRRembrandt,Cox-p-valueRembrandt
3003,4.553718675,5.27E-06
836,4.549919131,5.37E-06
59,4.54932843,5.38E-06
1160,4.543061911,5.54E-06
3541,-4.541151117,5.59E-06
546,4.54007763,5.62E-06
3179,4.539262475,5.65E-06
301,4.538423011,5.67E-06
477,4.538423011,5.67E-06
1403,4.538423011,5.67E-06
806,4.538423011,5.67E-06
212,4.535897878,5.74E-06
628,4.529982738,5.90E-06
2842,4.529982738,5.90E-06
3027,4.523436058,6.08E-06
1053,4.52137062,6.14E-06
291,4.519621326,6.20E-06
2823,4.507698422,6.55E-06
3026,4.505853546,6.61E-06
2917,-4.505362445,6.63E-06
2964,-4.496273774,6.92E-06
133,4.492832113,7.03E-06
2404,4.489793642,7.13E-06
3017,4.483196852,7.35E-06
524,4.481290809,7.42E-06
326,4.47812733,7.53E-06
1265,4.477792801,7.54E-06
290,4.477740323,7.54E-06
697,4.476607205,7.58E-06
778,4.476607205,7.58E-06
